Категория,Подкатегория,Получатель,Наименование,Описание,Размер_ставка,Условия,Контакты,Нормативный_акт,Дополнительно,Лист_источник,Строка_источник
Финансовая поддержка,АНТИКРИЗИСНЫЕ МЕРЫ,"Малоимущие семьи, малоимущие одиноко проживающие граждане и иные категории граждан","Государственная социальная помощь на основании социального контракта отдельным категориям граждан, порядок предоставления которой утвержден постановлением Правительства Красноярского края от 10.12.2024 № 981-п «Об установлении дополнительных мер социальной поддержки по оказанию государственной социальной помощи на основании социального контракта отдельным категориям граждан, по оказанию государственной социальной помощи малоимущим одиноко проживающим гражданам, малоимущим семьям в виде единовременного социального пособия, по предоставлению единовременной адресной материальной помощи отдельным категориям граждан на развитие личного подсобного хозяйства»","Малоимущий одиноко проживающий гражданин, один из совершеннолетних дееспособных членов малоимущей семьи, может заключить социальный контракт, к которому прилагается программа социальной адаптации, предусматривающая мероприятия:
1) по поиску работы;
2) по осуществлению индивидуальной предпринимательской деятельности;
3) по ведению личного подсобного хозяйства;
4) по осуществлению иных мероприятий. Под иными мероприятиями, направленными на преодоление заявителем (его семьей) трудной жизненной ситуации, понимаются мероприятия, направленные на оказание государственной помощи, предусмотренной абзацем вторым части 1 статьи 12 Федеральным законом от 17.07.1999 № 178-ФЗ «О государственной социальной помощи», в целях удовлетворения текущих потребностей граждан в приобретении товаров первой необходимости, одежды, обуви, лекарственных препаратов, товаров для ведения личного подсобного хозяйства, в лечении, профилактическом медицинском осмотре, в целях стимулирования ведения здорового образа жизни, а также для обеспечения потребности семей в товарах и услугах дошкольного и школьного образования",При реализации мероприятия «осуществление индивидуальной предпринимательской деятельности» заявителю предоставляется единовременно или по частям (в зависимости от этапа исполнения мероприятий программы социальной адаптации и бизнес-плана) денежная выплата в размере не более 350000 рублей,"Государственная помощь предоставляется гражданам Российской Федерации, проживающим на территории Красноярского края. Право на получение государственной помощи имеют малоимущие семьи, малоимущие одиноко проживающие граждане и иные категории граждан, предусмотренные Федеральным законом от 17.07.1999 № 178-ФЗ, которые по не зависящим от них причинам имеют среднедушевой доход ниже величины прожиточного минимума на душу населения, установленного по соответствующей группе территорий Красноярского края","Краевое государственное бюджетное учреждение «Многофункциональный центр предоставления государственных и муниципальных услуг» (телефон: 8 (800) 200-39-12, сайт: https://24mfc.ru/), территориальные отделения краевого государственного казенного учреждения «Управление социальной защиты населения», федеральная государственная информационная система «Единый портал государственных и муниципальных услуг (функций)»",,,Финансовая поддержка,1
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,Субъекты МСП,"Гранты в форме субсидий субъектам малого и среднего предпринимательства, признанным социальными предприятиями","Гранты на реализацию проектов в сфере социального предпринимательства (проект направлен  на обеспечение занятости социально уязвимых категорий граждан, реализацию производимых гражданами из числа социально уязвимых категорий товаров (работ, услуг), производство товаров (работ, услуг), предназначенных для граждан из числа социально уязвимых категорий, и (или) осуществление деятельности, направленной на достижение общественно полезных целей и способствующей решению социальных проблем общества)","1) от 100 до 500 тыс. рублей;
2) до 1 млн рублей для предпринимателей, ведущих деятельность в Арктической зоне.","1) признан социальным предприятием, сведения внесены в единый реестр в году, предшествующем текущему финансовому году (в случае  расширения деятельности
при реализации ранее созданного проекта в сфере социального предпринимательства);
2) руководитель предприятия, впервые признанного социальным, прошёл обучение в рамках обучающей программы или акселерационной программы в течение текущего финансового года по направлению осуществления деятельности в сфере социального предпринимательства, проведение которой организовано автономной некоммерческой организацией «Красноярский краевой центр развития бизнеса и микрокредитная компания» (применяется в случае реализации нового проекта в сфере социального предпринимательства);
3) грант предоставляется на конкурсной основе при условии софинансирования расходов в размере не менее 25%.","Конкурс проводит агентство развития малого и среднего предпринимательства Красноярского края
телефон – (391) 222-55-17.",,,Финансовая поддержка,2
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,Субъекты МСП,"Гранты в форме субсидий субъектам малого и среднего предпринимательства, созданным физическими лицами в возрасте до 25 лет включительно","Гранты на реализацию проектов, направленных на осуществление предпринимательской деятельности.","1) от 100 до 500 тыс. рублей;
2) до 1 млн рублей для предпринимателей, ведущих деятельность в Арктической зоне.","1) включен в реестр субъектов МСП;
2) создан физическим лицом от 14 до 25 лет включительно (физическое лицо  в качестве индивидуального предпринимателя или юридическое лицо, доля  участия в уставном капитале которого одного или нескольких физических лиц в возрасте до 25 лет включительно превышает 50 процентов)
2) пройдено обучение в рамках обучающей программы или акселерационной программы, полулченного в течение текущего финансового года по направлению осуществления предпринимательской деятельности, проведение которой организовано автономной некоммерческой организацией «Красноярский краевой центр развития бизнеса и микрокредитная компания»
3) грант предоставляется на конкурсной основе при условии софинансирования расходов в размере не менее 25%.","Конкурс проводит агентство развития малого и среднего предпринимательства Красноярского края
телефон – (391) 222-55-17.",,,Финансовая поддержка,3
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,Субъекты МСП,Гранты на начало ведения предпринимательской деятельности,"На гранты могут претендовать предприниматели Красноярского края, которые работают в сферах производства товаров, работ, услуг (сельского хозяйства, промышленности, информационных технологий, креативных индустрий, обрабатывающих производств, индустрии гостеприимства, бытовых услуг, дополнительного образования детей и взрослых, спорта, сбора и переработки отходов, ремонта автотранспортных средств, строительных работ и т.д. )

Гранты можно потратить на аренду и ремонт помещений, приобретение оборудования и сырья, оформление результатов интеллектуальной собственности.","1) до 500,0 тыс. рублей;
2) до 700,0 тыс. рублей для предпринимателей, ведущих деятельность в Арктической зоне.","Условия для грантополчателей:
1) грантовая поддержка предоставляется субъектам МСП, зарегистрированным не ранее двух лет, предшествующих году подачи заявки на получение грантовой поддержки;
2) нужно быть включённым в Единый реестр субъектов МСП;
3) не осуществлять производство и (или) реализацию подакцизных товаров, а также добычу и (или) реализацию полезных ископаемых, за исключением общераспространенных полезных ископаемых;
4) не иметь задолженность по уплате налогов, сборов, страховых взносов, пеней, штрафов, процентов;
5) пройти бесплатное обучение основам предпринимательской деятельности.
Подробные условия участия в отборе необходимо уточнять в администрациях городских и муниципальных округов  Красноярского края.","Администрации городских и муниципальных округов Красноярского края, которые попали в список получателей данной субсидии*.

*Конкурс среди муниципалитетов проводит агентство развития малого и среднего предпринимательства Красноярского края.",,,Финансовая поддержка,4
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,"Самозанятые,
 Субъекты МСП",Субсидии на реализацию проектов в сфере развития предпринимательской деятельности,"Предприниматели края получают субсидии на развитие бизнеса на основе отбора, который проводят администрации городских округов и муниципальных районов Красноярского края.
Субсидии предоставляются на компенсацию затрат:
1) по подключению к инженерной инфраструктуре, текущему ремонту помещения, приобретению оборудования, мебели и оргтехники;
2) по уплате первоначального (авансового) лизингового взноса и (или) очередных лизинговых платежей;
3) по уплате процентов по кредитам на приобретение оборудования;
4) по сертификации (декларированию) продукции (продовольственного сырья, товаров, работ, услуг), лицензированию деятельности;
5) на проведение мероприятий по профилактике коронавирусной инфекции (включая приобретение рециркуляторов воздуха), приобретением средств индивидуальной защиты и дезинфицирующих (антисептических) средств;
7) по уплате страховых взносов по заключенным договорам страхования имущества.","1) до 50 %  произведенных затрат и не более 700 тыс. рублей субъекту МСП;
2) до 50 %  произведенных затрат и не более 100 тыс. рублей самозанятому.","Общий размер поддержки, предоставляемой в году предоставления поддержки, и в году, следующем за годом предоставления поддержки, одному самозанятому гражданину не может превышать 100,0 тыс. рублей, одному субъекту МСП - 700,0 тыс. рублей.
Для субъектов МСП:
1) нужно быть включённым в Единый реестр субъектов МСП;
2) не осуществлять производство и (или) реализацию подакцизных товаров, а также добычу и (или) реализацию полезных ископаемых, за исключением общераспространенных полезных ископаемых;
3) не иметь задолженность по уплате налогов, сборов, страховых взносов, пеней, штрафов, процентов.
Подробные условия участия в отборе необходимо уточнять в администрацияхгородских и муниципальных округов Красноярского края.
Для самозанятых граждан:
1) не иметь задолженность по уплате налогов, сборов, пеней, штрафов и т.д.
Подробные условия участия в отборе необходимо уточнять в администрациях городских и муниципальных округов Красноярского края.","Администрации городских городских и муниципальных округов Красноярского края, которые попали в список получателей данной субсидии*. 

*Конкурс среди муниципалитетов проводит агентство развития малого и среднего предпринимательства Красноярского края.",,,Финансовая поддержка,5
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,Субъекты МСП,Субсидии на реализацию мероприятий по переходу на экологичные виды топлива,"Субсидии на оплату приобретения (купля-продажа, доставка) субъектами МСП оборудования для производства тепловой энергии на твердотопливных котлах с автоматической подачей топлива; газового, электрического или комбинированного оборудования; приборов учета; систем отопления; твердотопливных котлов с автоматической подачей угля и (или) термоугля; твердотопливных котлов с автоматической подачей пеллет. 
Поддержка предоставляется предпринимателям Красноярского края, осуществляющим деятельность в сферах производства товаров, работ, услуг (сельского хозяйства, промышленности, информационных технологий, креативных индустрий, обрабатывающих производств, индустрии гостеприимства, бытовых услуг, дополнительного образования детей и взрослых, спорта, сбора и переработки отходов, ремонта автотранспортных средств, строительных работ и т.д.).","до 50 %  затрат и не более 500,0 тыс. рублей субъекту МСП .","Общий размер поддержки, предоставляемой субъекту МСП не может превышать 500,0 тыс. рублей.
Для субъектов МСП:
1) отсутствие в государственном реестре сведений об объекте, оказывающем негативное воздействие на окружающую среду, либо отсутствие данных инвентаризации стационарных источников и выбросов загрязняющих веществ в атмосферный воздух;
2) в текущем году в отношении субъекта МСП не принято решение об оказании аналогичной поддержки;
3) субъект МСП относится к субъектам МСП, указанным в частях 3 и 4 статьи 14 Федерального закона N 209-ФЗ;
4) субъект МСП не имеет в собственности или на ином законном основании, автономные источники теплоснабжения для производства тепловой энергии.","Министерство экологии Красноярского края.
г. Красноярск, пр. Мира, д. 10;
телефон +7 (391) 222-60-52",,,Финансовая поддержка,6
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,Субъекты МСП,"Субсидии на реализацию инвестиционных проектов в сфере производства  товаров (работ, услуг)","Предприниматели края получают субсидии на реализацию инвестиционных проектов в сфере производства товаров (работ, услуг) на основе конкурсного отбора, который проводят администрации городских округов и муниципальных районов Красноярского края.
Субсидии предоставляются на компенсацию затрат:
1) на строительство, реконструкцию (техническое перевооружение), капитальный ремонт объектов капитального строительства, включая затраты на их подключение к инженерной инфраструктуре;
2) на приобретение техники и оборудования, необходимых для осуществления предпринимательской деятельностипо подключению к инженерной инфраструктуре, текущему ремонту помещения, приобретению оборудования, мебели и оргтехники;
3) по уплате первоначального (авансового) лизингового взноса и (или) очередных лизинговых платежей;
4) по заключенным договорам лизинга (сублизинга) оборудования;
5) по уплате процентов по кредитам на приобретение оборудования;
6) по экспертизе, сертификации (декларированию) продукции (продовольственного сырья, товаров, работ, услуг), лицензированию деятельности;
7) по уплате страховых взносов по заключенным договорам страхования имущества.","до 50 %  произведенных затрат и не более 15 000,0 тыс. рублей субъекту МСП .","Общий размер поддержки, предоставляемой в году предоставления поддержки, и в году, предшествующем году предоставления поддержки, одному субъекту МСП не может превышать 15000,0 тыс. рублей.
Для субъектов МСП:
1) нужно быть включённым в Единый реестр субъектов МСП;
2) не осуществлять производство и (или) реализацию подакцизных товаров, а также добычу и (или) реализацию полезных ископаемых, за исключением общераспространенных полезных ископаемых;
3) не иметь задолженности по уплате налогов, сборов, пеней, штрафов и т.д., превышающей размер, определенный пунктом 3 статьи 47 НК РФ;
4) не иметь фактов тяжелых несчастных случаев на произхводстве по вине субъекта МСП.
Подробные условия участия в отборе необходимо уточнять в городских и муниципальных округов Красноярского края.","Администрации городских и муниципальных округов Красноярского края, которые попали в список получателей данной субсидии*. 

*Конкурс среди муниципалитетов проводит агентство развития малого и среднего предпринимательства Красноярского края.",,,Финансовая поддержка,7
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,Субъекты МСП,Субсидии на реализацию инвестиционных проектов в сфере благоустройства объектов дорожного сервиса,"Предприниматели края получают субсидии на реализацию инвестиционных проектов в сфере благоустройства объектов дорожного севиса, который проводят администрации городских округов и муниципальных районов Красноярского края.
Субсидии предоставляются на компенсацию затрат:
1) на возмещение части затрат, связанных с приведением объектов дорожного сервиса в соответствие с требованиями стандарта организации объектов дорожного сервиса и (или) правил благоустройства;
2) на приобретение  оборудования, необходимого для создания и (или) благоустройства объектов дорожного сервиса, его монтаж 
и пусконаладочные работы;
3) по уплате первоначального (авансового) лизингового взноса и (или) очередных лизинговых платежей;
4) по уплате процентов по кредитам на приобретение оборудования;
5) по уплате страховых взносов по заключенным договорам страхования имущества.","до 50 %  произведенных затрат и не более 1 000,0 тыс. рублей субъекту МСП .","Общий размер поддержки, предоставляемой в году предоставления поддержки, и в году, предшествующем году предоставления поддержки, одному субъекту МСП не может превышать 1 000,0 тыс. рублей.
Для :
1) нужно быть включённым в Единый реестр субъектов МСП;
2) не осуществлять производство и (или) реализацию подакцизных товаров, а также добычу и (или) реализацию полезных ископаемых, за исключением общераспространенных полезных ископаемых;
3) не иметь задолженности по уплате налогов, сборов, пеней, штрафов и т.д., превышающей размер, определенный пунктом 3 статьи 47 НК РФ;
4) не иметь фактов тяжелых несчастных случаев на произхводстве по вине субъекта МСП.
Подробные условия участия в отборе необходимо уточнять в администрациях ггородских и муниципальных округов Красноярского края.","Администрации ггородских и муниципальных округов   Красноярского края, которые попали в список получателей данной субсидии*. 

*Конкурс среди муниципалитетов проводит агентство развития малого и среднего предпринимательства Красноярского края.",,,Финансовая поддержка,8
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,Действующие экспортеры,"Содействие в организации и осуществлении транспортировки пищевых лесных ресурсов, продукции агропромышленного комплекса, а также древесины и изделий из нее, предназначенных для экспорта на внешние рынки","Софинансирование расходов на содействие в организации и осуществлении транспортировки товаров и/или экспедирования товаров, и/или погрузочно-разгрузочных работ, и/или перегрузки с одного транспорта на другой, и/или хранения, и/или сортировки, и/или консолидации, и/или разукрупнения, и/или маркировки, и/или перемаркировки, и/или паллетирования, и/или упаковки, и/или переупаковки следующих товаров Заявителей: пищевых лесных ресурсов, продукции агропромышленного комплекса, а также древесины и изделий из нее.","Софинансирование затрат при оказании Услуги одному субъекту МСП в текущем финансовом году составляет до 80% затрат и не может превышать 2,00 млн руб.",1) Услуга предоставляется по заявке в результате конкурсного отбора;                                       2) Субъект МСП внесен в Единый реестр субъектов МСП;                                                        3) Субъект МСП является действующим экспортером (поставщиком) по экспортным контрактам;                                                                                                                       4) Субъект МСП не получал средства из федерального бюджета или бюджета субъекта Российской Федерации на возмещение одних и тех же затрат на цели;                      5)  Коды ТН ВЭД соответствует Порядку предоставления услуги,"Региональный центр «Мой бизнес»:
адрес: г. Красноярск, ул. Матросова, 2,  
телефон – 8-800-234-01-24;
сайт – https://мойбизнес-24.рф/sections/podderzhka-eksporta",,,Финансовая поддержка,9
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,Юридические лица,Грант на проведение научных исследований и развития научных коллективов,"Гранты  по мероприятию «Проведение поисковых научных исследований в целях эффективного использования и развития научного потенциала субъектов РФ» приоритетного направления деятельностиРоссийского научного фонда «Поддержка проведения научных исследований и развития научных коллективов, занимающих лидирующие позиции в определенных областях науки»","Финансирование одного проекта 
- до 22 млн рублей","Получатели - юридические лица, зарегистрированные и осуществляющие свою деятельность на территории Красноярского края, подтвержденные наличием кодов ОКВЭД 72 («ОК 029-2014 (КДЕС Ред. 2). Общероссийский классификатор видов экономической деятельности», утвержденный Приказом Росстандарта от 31.01.2014 № 14-ст)","КГАУ «Красноярский краевой фонд поддержки научной и научно-технической деятельности»:
адрес – г. Красноярск, ул. Карла Маркса, 246, каб. 208;
телефон – (391) 291-38-51;
электронная почта – info@sf-kras.ru
сайт – http://www.sf-kras.ru.",,,Финансовая поддержка,10
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,Юридические лица,Грант по выполнению прикладных научных исследований в рамках национального проекта,Получение грантов Российского научного фонда по выполнению прикладных научных исследований в рамках национального проекта по обеспечению технологического лидерства «Средства производства и автоматизации» с участием субъектов РФ,"Финансирование одного проекта 
- до 90 млн рублей","Получатели - юридические лица, зарегистрированные и осуществляющие свою деятельность на территории Красноярского края, подтвержденные наличием кодов ОКВЭД 72 («ОК 029-2014 (КДЕС Ред. 2). Общероссийский классификатор видов экономической деятельности», утвержденный Приказом Росстандарта от 31.01.2014 № 14-ст)","КГАУ «Красноярский краевой фонд поддержки научной и научно-технической деятельности»:
адрес – г. Красноярск, ул. Карла Маркса, 246, каб. 208;
телефон – (391) 291-38-51;
электронная почта – info@sf-kras.ru
сайт – http://www.sf-kras.ru.",,,Финансовая поддержка,11
